,Price,Made Year,Manufacture,Model,Kilometer
0,36500.00,2015.0,Audi,AudiQ,79997
1,34894.00,2016.0,BMW,BMWX3,78298
2,51888.00,2015.0,BMW,BMWX6,40000
3,37603.00,2017.0,Acura,Acura,25103
4,36333.00,2017.0,NISSAN,NISSA,11208
5,41917.00,2017.0,Acura,Acura,46129
6,35800.00,2014.0,Mercedes-Benz,Merce,82675
7,38800.00,2016.0,Land,Range Rover,52138
8,34900.00,2017.0,Toyota,Toyot,55160
9,33900.00,2017.0,Toyota,Toyot,17643
10,36900.00,2016.0,Toyota,Toyot,63616
11,41800.00,2017.0,Toyota,Toyot,19267
12,40800.00,2017.0,Jeep,JeepW,15131
13,34800.00,2015.0,Land,Evoque PURE,54401
14,45800.00,2014.0,Porsche,Porsc,87606
15,47800.00,2017.0,Audi,AudiQ,93929
16,40152.00,2015.0,Lexus,Lexus,59915
17,36242.00,2015.0,Lexus,Lexus,92696
18,37995.00,2017.0,Acura,Acura,18688
19,39888.00,2016.0,Lexus,Lexus,25000
20,65995.00,2016.0,Porsche,Porsc,33021
21,58000.00,2014.0,Land,Range Rover,64123
22,47682.00,2018.0,Cadillac,Cadil,27832
23,33988.00,2015.0,Mercedes-Benz,Merce,54819
24,33888.00,2014.0,BMW,BMWX6,59870
25,36500.00,2015.0,Audi,AudiQ,79997
26,34894.00,2016.0,BMW,BMWX3,78298
27,51888.00,2015.0,BMW,BMWX6,40000
28,37603.00,2017.0,Acura,Acura,25103
29,36333.00,2017.0,NISSAN,NISSA,11208
30,41917.00,2017.0,Acura,Acura,46129
31,35800.00,2014.0,Mercedes-Benz,Merce,82675
32,38800.00,2016.0,Land,Range Rover,52138
33,34900.00,2017.0,Toyota,Toyot,55160
34,33900.00,2017.0,Toyota,Toyot,17643
35,36900.00,2016.0,Toyota,Toyot,63616
36,41800.00,2017.0,Toyota,Toyot,19267
37,40800.00,2017.0,Jeep,JeepW,15131
38,34800.00,2015.0,Land,Evoque PURE,54401
39,45800.00,2014.0,Porsche,Porsc,87606
40,47800.00,2017.0,Audi,AudiQ,93929
41,40152.00,2015.0,Lexus,Lexus,59915
42,36242.00,2015.0,Lexus,Lexus,92696
43,37995.00,2017.0,Acura,Acura,18688
44,39888.00,2016.0,Lexus,Lexus,25000
45,65995.00,2016.0,Porsche,Porsc,33021
46,58000.00,2014.0,Land,Range Rover,64123
47,47682.00,2018.0,Cadillac,Cadil,27832
48,33988.00,2015.0,Mercedes-Benz,Merce,54819
49,33888.00,2014.0,BMW,BMWX6,59870
50,42888.00,2018.0,VOLKSWAGEN,VOLKS,27000
51,69990.00,2017.0,Jaguar,Jagua,25572
52,49800.00,2014.0,Porsche,Porsc,75634
53,31950.00,2017.0,Audi,AudiQ,99000
54,55598.00,2017.0,Lexus,Lexus,20083
55,34888.00,2015.0,Mercedes-Benz,Merce,63808
56,43888.00,2013.0,Mercedes-Benz,Merce,96226
57,33988.00,2015.0,Mercedes-Benz,Merce,52674
58,32888.00,2015.0,Mercedes-Benz,Merce,71460
59,32988.00,2016.0,BMW,BMWX4,47940
60,36888.00,2015.0,Toyota,Toyot,75480
61,39988.00,2016.0,BMW,BMWX5,73166
62,44985.00,2014.0,Mercedes-Benz,Merce,87000
63,39985.00,2013.0,Porsche,Porsc,85000
64,44985.00,2016.0,Mercedes-Benz,Merce,66000
65,34000.00,2015.0,lexus,lexus,44000
66,34990.00,2015.0,Audi,AudiQ,95428
67,36500.00,2015.0,Audi,AudiQ,79997
68,59900.00,2016.0,Porsche,Porsc,21352
69,50910.00,2015.0,BMW,BMWX5,52277
70,36710.00,2015.0,Mercedes-Benz,Merce,77003
71,47589.00,2017.0,Acura,Acura,70225
72,51977.00,2017.0,Audi,AudiQ,78201
73,34977.00,2018.0,Volkswagen,Volks,21645
74,31977.00,2015.0,Audi,AudiQ,82748
75,32000.00,2015.0,Land,Range Rover,43000
76,39990.00,2016.0,Land,Range Rover,68230
77,48889.00,2018.0,Mercedes-Benz,Merce,17901
78,32995.00,2016.0,Toyota,Toyot,11515
79,44800.00,2013.0,Mercedes-Benz,Merce,96010
80,34977.00,2015.0,Lexus,Lexus,65189
81,39500.00,2015.0,Jeep,JeepW,52000
82,39950.00,2018.0,Jeep,JeepG,21524
83,30900.00,2017.0,Toyota,Toyot,52382
84,36910.00,2014.0,Land,Range Rover,50644
85,63095.00,2018.0,Audi,AudiQ,14604
86,53910.00,2017.0,Lexus,Lexus,45928
87,43888.00,2018.0,Jeep,JeepG,44802
88,57799.00,2016.0,BMW,BMWX6,40000
89,64985.00,2016.0,Land,Range Rover,55000
90,49800.00,2016.0,BMW,BMWX6,73000
91,52998.00,2018.0,Cadillac,Cadil,19376
92,38880.00,2015.0,Audi,AudiQ,85000
93,40800.00,2018.0,Jeep,JeepW,14875
94,64910.00,2015.0,Land,Range Rover,82240
95,39995.00,2015.0,BMW,BMWX5,65000
96,51388.00,2015.0,Porsche,Porsc,43688
97,39500.00,2016.0,Toyota,Toyot,48125
98,59988.00,2014.0,Land,Range Rover,75000
99,49988.00,2014.0,Mercedes-Benz,Merce,66500
100,66900.00,2017.0,GMC,GMCYu,29049
101,32595.00,2017.0,Ford,FordE,30940
102,36500.00,2015.0,Audi,AudiQ,79997
103,49800.00,2014.0,Porsche,Porsc,75634
104,36600.00,2017.0,BMW,BMWX1,35950
105,33877.00,2015.0,Jeep,JeepW,50232
106,47995.00,2016.0,Lexus,Lexus,15791
107,41888.00,2018.0,Chrysler,Chrys,10810
108,43427.00,2018.0,Dodge,Dodge,30847
109,57776.00,2015.0,Mercedes-Benz,Merce,77857
110,34999.00,2015.0,Lexus,Lexus,55810
111,56777.00,2016.0,Volvo,Volvo,27800
112,36988.00,2014.0,Mercedes-Benz,Merce,53334
113,34995.00,2016.0,Lexus,Lexus,42197
114,39988.00,2014.0,Audi,AudiQ,64000
115,53988.00,2015.0,Mercedes-Benz,Merce,92000
116,41800.00,2013.0,Porsche,Porsc,75000
117,53988.00,2013.0,Mercedes-Benz,Merce,89000
118,31795.00,2015.0,Mercedes-Benz,Merce,58000
119,52988.00,2015.0,Mercedes-Benz,Merce,79000
120,78888.00,2015.0,Land,Range Rover,57000
121,31795.00,2015.0,Mercedes-Benz,Merce,58000
122,38988.00,2014.0,Audi,AudiQ,88000
123,37888.00,2013.0,Audi,AudiQ,65000
124,53988.00,2015.0,Chevrolet,Chevr,30790
125,31977.00,2016.0,Mercedes-Benz,Merce,45910
126,31900.00,2015.0,Mercedes-Benz,Merce,71913
127,43800.00,2014.0,BMW,BMWX5,85792
128,40888.00,2014.0,BMW,BMWX5,79000
129,36887.00,2018.0,Mercedes-Benz,Merce,16690
130,35488.00,2016.0,Mazda,Mazda,75210
131,65710.00,2016.0,Land,Range Rover,59579
132,32910.00,2013.0,Volkswagen,Volks,60144
133,51910.00,2015.0,Land,Range Rover,87138
134,38500.00,2016.0,Jeep,JeepG,85000
135,37870.00,2015.0,Audi,AudiQ,66321
136,32095.00,2016.0,Audi,AudiQ,44352
137,39926.00,2016.0,Acura,Acura,51116
138,33997.00,2016.0,Acura,Acura,69944
139,35800.00,2015.0,Land,Range Rover,95098
140,46800.00,2018.0,Land,Range Rover,20583
141,43800.00,2015.0,Land,LR4 7,90274
142,35800.00,2014.0,Mercedes-Benz,Merce,75959
143,48800.00,2013.0,Mercedes-Benz,Merce,58960
144,36800.00,2016.0,Jeep,JeepW,61532
145,32800.00,2015.0,Mercedes-Benz,Merce,61165
146,36800.00,2015.0,Mercedes-Benz,Merce,87744
147,36800.00,2014.0,Land,"Evoque DYNAMIC,",71641
148,38800.00,2014.0,Mercedes-Benz,Merce,80673
149,51890.00,2017.0,Lexus,Lexus,46604
150,33295.00,2018.0,Hyundai,Hyund,22155
151,77990.00,2015.0,Land,Range Rover,48161
152,58000.00,2014.0,Land,Range Rover,64123
153,36500.00,2015.0,Audi,AudiQ,79997
154,38800.00,2016.0,Jeep,JeepW,21502
155,35950.00,2015.0,Mercedes-Benz,Merce,86943
156,33450.00,2015.0,Mercedes-Benz,Merce,98425
157,36600.00,2017.0,BMW,BMWX1,35950
158,36400.00,2017.0,Cadillac,Cadil,83499
159,30900.00,2015.0,Buick,Buick,49795
160,39488.00,2017.0,Jeep,JeepW,38394
161,35400.00,2016.0,Ford,FordE,95019
162,32888.00,2015.0,Acura,Acura,72647
163,73700.00,2018.0,Chevrolet,Chevr,18200
164,66900.00,2017.0,GMC,GMCYu,29049
165,63800.00,2016.0,Porsche,Porsc,23560
166,31950.00,2015.0,Mercedes-Benz,Merce,58132
167,47950.00,2015.0,BMW,BMWX5,34570
168,32888.00,2015.0,MERCEDES,MERCE,77000
169,33888.00,2015.0,Audi,AudiS,97475
170,38995.00,2015.0,Audi,AudiQ,70490
171,65995.00,2016.0,Chevrolet,Chevr,51724
172,35998.00,2016.0,Buick,Buick,41915
173,49000.00,2018.0,Toyota,Toyot,17000
174,30892.00,2016.0,Acura,Acura,71892
175,41999.00,2015.0,Mercedes-Benz,Merce,74890
176,74990.00,2016.0,Land,Range Rover,33656
177,56888.00,2016.0,Mercedes-Benz,Merce,48396
178,33800.00,2015.0,Mercedes-Benz,Merce,90487
179,43800.00,2015.0,Land,"LR4 HSE,",94085
180,68910.00,2015.0,Land,Range Rover,79312
181,42810.00,2015.0,Land,LR4 HSE,97494
182,38910.00,2016.0,BMW,BMWX4,93870
183,49710.00,2018.0,GMC,GMCYu,27382
184,38949.00,2016.0,Honda,Honda,47969
185,32900.00,2015.0,Mercedes-Benz,Merce,35564
186,41900.00,2017.0,Lexus,Lexus,24700
187,32900.00,2016.0,Audi,AudiQ,97947
188,56988.00,2015.0,Mercedes-Benz,Merce,76691
189,39987.00,2013.0,Porsche,Porsc,83578
190,54860.00,2015.0,Mercedes-Benz,Merce,81356
191,73888.00,2018.0,Volvo,Volvo,19189
192,37890.00,2015.0,Audi,AudiQ,82100
193,43955.00,2016.0,Lexus,Lexus,82137
194,41995.00,2016.0,Lexus,Lexus,26853
195,64500.00,2017.0,Mercedes-Benz,Merce,45400
196,64800.00,2017.0,Lexus,Lexus,20500
197,30989.00,2015.0,Acura,Acura,80820
198,44380.00,2017.0,Acura,Acura,49664
199,48457.00,2017.0,Acura,Acura,41851
200,55490.00,2015.0,BMW,BMWX6,54282
201,35900.00,2017.0,Audi,AudiQ,55089
202,35998.00,2018.0,Mercedes-Benz,Merce,21586
203,39500.00,2016.0,Toyota,Toyot,48125
204,47777.00,2017.0,Jeep,JeepG,44077
205,48493.00,2017.0,Acura,Acura,32315
206,42397.00,2017.0,Acura,Acura,37800
207,32395.00,2016.0,Acura,Acura,51654
208,32997.00,2016.0,Acura,Acura,76856
209,39988.00,2013.0,Land,Range Rover,99000
210,58988.00,2015.0,Land,Range Rover,79000
211,36988.00,2013.0,Land,Range Rover,99000
212,59995.00,2015.0,Porsche,Porsc,84582
